Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
5.856264880059923e-9,1.0672017811005615e-8,1.3349335250777251e-8,1.480186350556723e-8,1.5656714195813378e-8,1.6192159674913366e-8,1.654805463434211e-8,1.6795107350388725e-8,1.697336983478041e-8,1.7105850008535746e-8,1.720695011927761e-8
4.402402737040073e-8,9.713831610882879e-8,1.3688253779939686e-7,1.625069718248072e-7,1.7953109310535204e-7,1.9111198451435718e-7,1.9930798949869985e-7,2.052711140855224e-7,2.0973982761568912e-7,2.1316206974301958e-7,2.158402387769188e-7
1.3240266707962362e-7,2.858501367183828e-7,3.976675305950299e-7,4.6953568731374644e-7,5.172757123503598e-7,5.498394455606609e-7,5.729471083209673e-7,5.898106104611562e-7,6.024811565461855e-7,6.122094985989917e-7,6.198393645605285e-7
2.054702378859595e-7,4.6777021429023726e-7,6.753048518852037e-7,8.169847454937531e-7,9.152668400119579e-7,9.845142205402715e-7,1.034889768451875e-6,1.072382265365571e-6,1.1010023948764488e-6,1.123265108800578e-6,1.1409167896824216e-6
2.555069669569589e-7,6.063485786802948e-7,9.04093407440941e-7,1.119220323694524e-6,1.2750515924174738e-6,1.3886862498474284e-6,1.4736127476090048e-6,1.538238260908643e-6,1.5884691346168528e-6,1.6281447450588486e-6,1.6600083910214331e-6
2.9153194326877004e-7,7.13286305803381e-7,1.0909063111385362e-6,1.3768523010075705e-6,1.5917005277627577e-6,1.753183081548918e-6,1.8768055762727853e-6,1.9728045348663636e-6,2.0486719077366237e-6,2.1094632998307566e-6,2.158878503098765e-6
3.187600055679076e-7,7.980906039766167e-7,1.2456269792711178e-6,1.5978753071235744e-6,1.8707451207521412e-6,2.0812114134323268e-6,2.2457196258300253e-6,2.3757633674078468e-6,2.4800646524368673e-6,2.564722227084486e-6,2.6342946547277955e-6
3.4011773915069395e-7,8.669828980919813e-7,1.3758281605320575e-6,1.7894494922014635e-6,2.11820663378814e-6,2.3774366273571856e-6,2.58373358593331e-6,2.749360413082211e-6,2.8839448689842724e-6,2.9944386881774625e-6,3.086143165634094e-6
3.573526287419126e-7,9.240732169723461e-7,1.4869885303636628e-6,1.957193166638608e-6,2.3391982805414176e-6,2.646160762352475e-6,2.894282373763568e-6,3.0962038499520074e-6,3.2621889950154705e-6,3.399858461650448e-6,3.515140225780823e-6
3.715729651340957e-7,9.721677123554114e-7,1.5830920830068372e-6,2.1054285525010768e-6,2.537855215326365e-6,2.8910356094371844e-6,3.1804322635737512e-6,3.4187602034348273e-6,3.616704915992939e-6,3.7823890850877514e-6,3.922258926659896e-6
3.8351753541500193e-7,1.0132455964878487e-6,1.6670858905953944e-6,2.2374944946086045e-6,2.7174964514282444e-6,3.115105297389581e-6,3.4448377463825463e-6,3.7192547548531855e-6,3.9492973372390535e-6,4.143445221194381e-6,4.3085642441441e-6
3.936990928740319e-7,1.048743131205807e-6,1.7411912137063846e-6,2.355998655697174e-6,2.8808001176882777e-6,3.3209084822700717e-6,3.6897860558723437e-6,3.999674424106009e-6,4.261642470147277e-6,4.484404500672961e-6,4.675156949918533e-6
4.0248544452994335e-7,1.0797283303294872e-6,1.8071123402180696e-6,2.463004079753732e-6,3.029947887155451e-6,3.510576203161938e-6,3.917255913948667e-6,4.261795161062308e-6,4.55529188909002e-6,4.806593604021347e-6,5.023147124443263e-6
4.1014774066030036e-7,1.107012212234133e-6,1.8661783834698607e-6,2.5601642942808646e-6,3.16673590655784e-6,3.685912468275581e-6,4.1289702545493064e-6,4.507209836994217e-6,4.831680578436757e-6,5.1112805367739325e-6,5.353634711273185e-6
4.168905318237921e-7,1.1312219308721547e-6,1.919441257324806e-6,2.6488210870345974e-6,3.292658384844697e-6,3.848457516344741e-6,4.3264388973286875e-6,4.737351533626893e-6,5.092134218509252e-6,5.3996686875156e-6,5.667693260609153e-6
4.228711900858323e-7,1.1528502183412546e-6,1.9677446292285822e-6,2.730075814883556e-6,3.408970518124437e-6,3.999536771081394e-6,4.510992182493372e-6,4.9535123528196865e-6,5.337875203037247e-6,5.672891961747003e-6,5.966356418901475e-6
4.282128643467129e-7,1.1722896489744698e-6,2.011773317026737e-6,2.8048419952006682e-6,3.5167361614693536e-6,4.140298769093097e-6,4.683807576066741e-6,5.1568588011712595e-6,5.570027953077584e-6,5.9320115683870125e-6,6.250607946175939e-6
4.3301336273628445e-7,1.1898569078788182e-6,2.0520892685793577e-6,2.8738845818082177e-6,3.6168642910215254e-6,4.271744810861377e-6,4.84593103160158e-6,5.348444740863584e-6,5.7896241570695015e-6,6.178014827626442e-6,6.5213753516191565e-6
4.373513893715189e-7,1.2058103150898323e-6,2.089158174544398e-6,2.9378496738485552e-6,3.7101371973681828e-6,4.394752433137361e-6,4.9982944532103295e-6,5.529222636593565e-6,5.997608270311613e-6,6.411815906681489e-6,6.779526744808341e-6
4.41291015908539e-7,1.2203626994635044e-6,2.123369433915916e-6,2.9972872698393757e-6,3.797232532963812e-6,4.51009424185124e-6,5.141730220326379e-6,5.700053567428126e-6,6.19484332561496e-6,6.634258137467366e-6,7.025870288979663e-6
4.448849472409221e-7,1.233691003561012e-6,2.1550513296622305e-6,3.052668903354204e-6,3.8787407473453035e-6,4.618453219285399e-6,5.276983450260677e-6,5.861716275591891e-6,6.382116950589916e-6,6.846117491718354e-6,7.261155574706856e-6
