Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.349474035815373e-8,7.036329347728445e-8,9.603519401028784e-8,1.1210578958835712e-7,1.225585279023793e-7,1.2958126861253912e-7,1.345037611126013e-7,1.3806162656432964e-7,1.407134367235671e-7,1.4273603489604426e-7,1.443133943170866e-7
4.120817122108199e-7,8.679607410586372e-7,1.1807051589942213e-6,1.3760076075168682e-6,1.502491525723836e-6,1.5873406513934777e-6,1.6466995816685471e-6,1.6895670925694075e-6,1.7214846040745683e-6,1.7458170248279673e-6,1.764781202313327e-6
6.795086744553595e-7,1.5243369334965667e-6,2.168613125883493e-6,2.599624408039917e-6,2.893574789979389e-6,3.098178724228581e-6,3.2455435251718743e-6,3.354369981216724e-6,3.4369033697223776e-6,3.5007616437820396e-6,3.5511629238649107e-6
8.789301919958139e-7,2.052185384040163e-6,3.0065380047266714e-6,3.6791437630882842e-6,4.1568494197518565e-6,4.500233814231135e-6,4.754017469218235e-6,4.945444809636098e-6,5.093190810449314e-6,5.2092137135539885e-6,5.301947932120054e-6
1.047114169643918e-6,2.5239467127918167e-6,3.7876839442744653e-6,4.720218535344714e-6,5.407453015598393e-6,5.916999136864034e-6,6.303209196533791e-6,6.600840134357944e-6,6.834702205893841e-6,7.021220546644095e-6,7.172283323368237e-6
1.1924746596756584e-6,2.9505644078378853e-6,4.518836260603762e-6,5.7234661321729505e-6,6.640902780567606e-6,7.340716358844028e-6,7.883681315695564e-6,8.310662873092374e-6,8.651913852216623e-6,8.928171747615758e-6,9.154795186165049e-6
1.320463202360924e-6,3.3398092353883086e-6,5.205268318673992e-6,6.689131079794921e-6,7.852451357345544e-6,8.762621723982911e-6,9.483846881169674e-6,1.006155730412e-5,1.0530547421063956e-5,1.0915495440574644e-5,1.123507337688472e-5
1.434825713295317e-6,3.6976693097518533e-6,5.85178723376235e-6,7.618347179693678e-6,9.039027309620935e-6,1.0175790547964658e-5,1.1093705272090732e-5,1.1841243039039095e-5,1.245677651292875e-5,1.2968411323953866e-5,1.3397858251887918e-5
1.5382271214686108e-6,4.0288401530602915e-6,6.4626674834245065e-6,8.512761006361418e-6,1.0198873061867142e-5,1.1575042770011965e-5,1.270511005294213e-5,1.3639174348475238e-5,1.4418246313860669e-5,1.5073269919153827e-5,1.562864672316839e-5
1.6326219820471492e-6,4.337052171657198e-6,7.041629914678557e-6,9.374219292648861e-6,1.1331117442307477e-5,1.2956573035536285e-5,1.4311550521687487e-5,1.5446521850461746e-5,1.6404260838640574e-5,1.721793525125962e-5,1.7914247314845054e-5
1.719483154963654e-6,4.625308905958986e-6,7.591885263882618e-6,1.0204598567439054e-5,1.2435481156138123e-5,1.431763647277888e-5,1.5907891693217184e-5,1.7256010580064313e-5,1.8405737251016632e-5,1.9391857848525327e-5,2.0242964795140325e-5
1.7999470856005327e-6,4.89606054928876e-6,8.116200656311248e-6,1.1005721381445702e-5,1.3512084779397453e-5,1.5656308387480548e-5,1.7490139314192696e-5,1.9061725032557818e-5,2.0415071931510766e-5,2.1586009605672865e-5,2.2604605314358065e-5
1.8749088330295032e-6,5.151330600957696e-6,8.616967106472115e-6,1.1779318142352987e-5,1.4561321246664286e-5,1.697130020409419e-5,1.9055236511112784e-5,2.0858912859011935e-5,2.242597095665703e-5,2.3792750921595587e-5,2.499038588130199e-5
1.9450860068951424e-6,5.39280908653177e-6,9.096259788957945e-6,1.2527012195232333e-5,1.5583768446586436e-5,1.8261816409864873e-5,2.0600890253010426e-5,2.2643800637212554e-5,2.4433272242165366e-5,2.6005669586077434e-5,2.7392797399467048e-5
2.0110629313134352e-6,5.621921982990358e-6,9.555889097650122e-6,1.3250316636991422e-5,1.6580127623321423e-5,1.9527442221082884e-5,2.2125424957164478e-5,2.4413428332592222e-5,2.6432775031332393e-5,2.8219415310603015e-5,2.9805451996002567e-5
2.073321891246421e-6,5.839883602859614e-6,9.997442935933207e-6,1.395063697327569e-5,1.7551179110402188e-5,2.0768054974117105e-5,2.362766041920216e-5,2.6165505102121818e-5,2.8421085101768288e-5,3.0429543534444716e-5,3.2222932800745734e-5
2.1322657235459934e-6,6.047736644507318e-6,1.042232144409114e-5,1.4629276570326642e-5,1.849775015761269e-5,2.1983754186900028e-5,2.5106811118155236e-5,2.7898286528521127e-5,3.0395479198901283e-5,3.263237520069522e-5,3.46406556968281e-5
2.1882344714439468e-6,6.246383204250124e-6,1.0831765473196416e-5,1.5287443305848398e-5,1.9420691444671586e-5,2.3174806443173032e-5,2.6562403922175673e-5,2.96104718410077e-5,3.235378916650686e-5,3.482487479662872e-5,3.705474701710276e-5
2.241517879290122e-6,6.436609079126137e-6,1.1226879982825693e-5,1.5926256576362187e-5,2.0320859962137496e-5,2.4341602073882418e-5,2.7994211342912436e-5,3.130111890949642e-5,3.4294304537158506e-5,3.700454640401176e-5,3.9461937894407104e-5
2.292364915357899e-6,6.619103025434209e-6,1.1608653347500892e-5,1.654675421836314e-5,2.1199106620517497e-5,2.5484621221201415e-5,2.9402197728375462e-5,3.2969574542811746e-5,3.621569153668185e-5,3.916934620672477e-5,4.18594742559276e-5
