Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
5.922425456427789e-15,1.0986593141695084e-14,1.2989752478292883e-14,1.3679319538595726e-14,1.3966683782895735e-14,1.4117265220658935e-14,1.4210148374532956e-14,1.4273945060684266e-14,1.4320659322329576e-14,1.43562563069856e-14,1.4384133024483104e-14
8.416430390625523e-15,1.680158320530448e-14,2.0957789972792708e-14,2.2603557710606455e-14,2.3322039159900342e-14,2.3693091770479175e-14,2.3914589893888555e-14,2.406227744330115e-14,2.4168180967633468e-14,2.4247906888475394e-14,2.431000927195315e-14
1.4493963588972614e-14,2.9635584328316677e-14,3.75721716761996e-14,4.0828848024783467e-14,4.2248916040304736e-14,4.2962300613963314e-14,4.3373110495465187e-14,4.363892747180975e-14,4.3825720718782846e-14,4.3964954486140525e-14,4.407307323682808e-14
1.52959845918643e-14,3.1630288236681116e-14,4.048522167659729e-14,4.424028525189544e-14,4.59133071427313e-14,4.6758491566669763e-14,4.724272490763947e-14,4.7553045602998496e-14,4.776898295707075e-14,4.7928713747761973e-14,4.805206611848273e-14
1.5457014676626274e-14,3.2073704597629515e-14,4.1196706623422293e-14,4.512366665085294e-14,4.6895990361495494e-14,4.779748194498747e-14,4.8314561812613574e-14,4.864498061103283e-14,4.887389523613417e-14,4.904248826772416e-14,4.917220532638086e-14
1.5501471055860043e-14,3.2204384768648115e-14,4.142172782387763e-14,4.541680933572956e-14,4.72325412720595e-14,4.816063786423086e-14,4.86941328899772e-14,4.9034929912876734e-14,4.9270637929203716e-14,4.944385598467978e-14,4.957685021517945e-14
1.551648946135258e-14,3.225059663473831e-14,4.150580732551963e-14,4.553081524911918e-14,4.7367145555090654e-14,4.83087489289412e-14,4.8851041450400295e-14,4.919762507675524e-14,4.943721914686608e-14,4.9613116128674734e-14,4.974801253698776e-14
1.5522332361818283e-14,3.226919446009403e-14,4.1541180802599045e-14,4.5580416102308444e-14,4.742716641917255e-14,4.83760068320022e-14,4.892324951330238e-14,4.927322016118057e-14,4.9515156779425164e-14,4.969270120988666e-14,4.982878077995509e-14
1.5524859758956e-14,3.2277451892714154e-14,4.1557474787975666e-14,4.560391971123429e-14,4.7456226570988906e-14,4.8409119837692903e-14,4.895925727725455e-14,4.931128268909497e-14,4.955468303789771e-14,4.973328053906074e-14,4.987012867329758e-14
1.5526047969588134e-14,3.228141537791827e-14,4.156554318845924e-14,4.561584119557873e-14,4.7471246968458244e-14,4.842649739091073e-14,4.897838371403285e-14,4.933169252956025e-14,4.9576033137436827e-14,4.975532289476037e-14,4.989268545982515e-14
1.5526645610639076e-14,3.228344287840559e-14,4.156978303129862e-14,4.562223561736786e-14,4.747943803845452e-14,4.843610550916529e-14,4.898907897438548e-14,4.9343209745707586e-14,4.958816840280667e-14,4.976792344277698e-14,4.9905638211270786e-14
1.5526963531640572e-14,3.228453665554877e-14,4.157212486424138e-14,4.562583026186393e-14,4.7484110329551056e-14,4.844165501743641e-14,4.899532162824521e-14,4.934999063423718e-14,4.959536375988629e-14,4.9775437438114665e-14,4.9913397800448325e-14
1.5527140849129918e-14,3.228515395516464e-14,4.1573474487818646e-14,4.5627933632490003e-14,4.748687979820224e-14,4.844498192472968e-14,4.899910066584522e-14,4.9354129232098025e-14,4.959978532028105e-14,4.978008082563761e-14,4.9918215139200473e-14
1.5527243840107265e-14,3.228551614157578e-14,4.157428135676169e-14,4.562920783158125e-14,4.7488576882112764e-14,4.844704167557596e-14,4.900146148593012e-14,4.935673465542709e-14,4.9602587088365226e-14,4.97830393227288e-14,4.992129855500284e-14
1.5527305802158646e-14,3.228573595420784e-14,4.157477944020036e-14,4.56300035075464e-14,4.748964755264615e-14,4.8448353369567114e-14,4.9002977460450815e-14,4.935841982067641e-14,4.960441053871531e-14,4.97849750123918e-14,4.9923325075891686e-14
1.5527344247153182e-14,3.2285873383413517e-14,4.157509570719002e-14,4.5630513861142443e-14,4.749034063941653e-14,4.8449209763136714e-14,4.9003974862285475e-14,4.935953605538151e-14,4.9605625514291305e-14,4.978627137300077e-14,4.992468823969287e-14
1.5527368759571145e-14,3.2285961598405095e-14,4.157530162074444e-14,4.5630849106381417e-14,4.749079971266369e-14,4.844978145380988e-14,4.900464543210544e-14,4.9360291276488517e-14,4.960645214352057e-14,4.97871577000466e-14,4.992562421942378e-14
1.5527384772459697e-14,3.2286019569877495e-14,4.157543872246865e-14,4.563107408198029e-14,4.749111010904518e-14,4.845017077567891e-14,4.900510510416617e-14,4.936081204492506e-14,4.960702516850964e-14,4.9787774988548957e-14,4.992627877771619e-14
1.5527395462996075e-14,3.2286058479451764e-14,4.1575531865607316e-14,4.56312279954218e-14,4.7491323916612514e-14,4.845044072293181e-14,4.900542577915299e-14,4.9361177355144605e-14,4.9607429144819267e-14,4.9788212116384513e-14,4.992674413910467e-14
1.552740274159255e-14,3.228608509790353e-14,4.157559630821379e-14,4.5631335148211556e-14,4.7491473697475725e-14,4.8450630985563825e-14,4.900565307715985e-14,4.936143763362947e-14,4.9607718330366563e-14,4.97885263663919e-14,4.992707996283116e-14
1.552740778608934e-14,3.228610362600117e-14,4.1575641638554876e-14,4.5631410943121073e-14,4.7491580252064764e-14,4.84507671023844e-14,4.900581654639232e-14,4.9361625730599484e-14,4.960792824854475e-14,4.9788755403463085e-14,4.992732561934425e-14
