Dl = 0,Dl = 1,Dl = 2,Dl = 3,Dl = 4,Dl = 5,Dl = 6,Dl = 7,Dl = 8,Dl = 9,Dl = 10
6.571653470610556e-15,1.5951920344150297e-14,2.2501805243038697e-14,2.5649604214671016e-14,2.7103638947085846e-14,2.7803930275498237e-14,2.8162373749946392e-14,2.8355961346246993e-14,2.846448578977097e-14,2.8526639925108826e-14,2.8562502650114665e-14
6.571653470610551e-15,1.5882536000746144e-14,2.2612905227786652e-14,2.5736264667957587e-14,2.7137808753789265e-14,2.7803087419355976e-14,2.8144087765006808e-14,2.8330943748326236e-14,2.843842141531596e-14,2.850207499447423e-14,2.854045740574324e-14
-4.808028926712103e-14,-1.335001685807052e-13,-2.05543991538087e-13,-2.46868293745421e-13,-2.6846091179210023e-13,-2.7967058420110895e-13,-2.856905234468372e-13,-2.890489563525294e-13,-2.9098777440560907e-13,-2.9213343099082726e-13,-2.9281913638482913e-13
-3.907262349467919e-14,-1.150993219295391e-13,-1.828147618819529e-13,-2.2214014127311306e-13,-2.4271789602378096e-13,-2.5335287838177134e-13,-2.5902228902530893e-13,-2.6215342079722527e-13,-2.6393754623243877e-13,-2.6497317953320456e-13,-2.6557767132514545e-13
-2.8297103395537667e-14,-9.294744101990301e-14,-1.547426963696515e-13,-1.913811218096555e-13,-2.1061932090820598e-13,-2.2050386967053263e-13,-2.2571086320778973e-13,-2.2853400670995036e-13,-2.301012606624944e-13,-2.309767855048645e-13,-2.3145892255822714e-13
-2.1898238374642712e-14,-7.992394362931606e-14,-1.380529628711272e-13,-1.7289674374274078e-13,-1.9117496598687654e-13,-2.0049516622206758e-13,-2.0534542374346003e-13,-2.0792911459657713e-13,-2.0932809502986526e-13,-2.1008006780103187e-13,-2.1046831896184467e-13
-1.7771049950225206e-14,-7.172402981121164e-14,-1.274622760479129e-13,-1.6105611299724144e-13,-1.7863431480800893e-13,-1.8753414950360064e-13,-1.9211718385797966e-13,-1.9452221812129803e-13,-1.9579652053868648e-13,-1.9645767150787738e-13,-1.9677737628845426e-13
-1.4963798771258807e-14,-6.629236857819024e-14,-1.2040083876326762e-13,-1.5310468588578877e-13,-1.7017062960391367e-13,-1.787608858593203e-13,-1.8314740014235523e-13,-1.8542161437406437e-13,-1.8660491680221293e-13,-1.8719998428902147e-13,-1.87469943067307e-13
-1.2981578464283897e-14,-6.25538209847296e-14,-1.1551111832045162e-13,-1.4756856395044941e-13,-1.6425643264147698e-13,-1.7261902642593646e-13,-1.7686169083096954e-13,-1.7904038379123867e-13,-1.8015719788280596e-13,-1.8070393326043575e-13,-1.809374984851758e-13
-1.154055308312333e-14,-5.989957563905104e-14,-1.1201982539675563e-13,-1.435989296973522e-13,-1.6000461984275864e-13,-1.6819889547746927e-13,-1.7233563457978893e-13,-1.7444392933097406e-13,-1.755115647424257e-13,-1.76022443108889e-13,-1.7622898401187568e-13
